categoriaEbay,Categorias Validas,Ratio x,+ Shipping,,Ejemplo (Producto de 100usd),,DOLAR:,21
Video Game Consoles,,,,,,,,
Solid State Drives,x,2,10,,4410,,,
External Hard Disk Drives,x,2,10,,4410,,,
Office & Business,x,2,10,,4410,,,
Monitors,,,,,,,,
PC & Console VR Headsets,x,2,10,,4410,,,
Activity Trackers,x,"2,2",10,,4830,,,
Internal Hard Disk Drives,x,2,10,,4410,,,
PC Laptops & Netbooks,,,,,,,,
Blood Pressure Monitoring,j,"2,2",30,,,,,
Memory (RAM),x,2,10,,4410,,,
Wireless Access Points,x,"2,2",10,,4830,,,
Operating Systems,x,"2,2",10,,4830,,,
Wireless Routers,x,"2,2",10,,4830,,,
Controls & Touchscreens,x,"2,2",10,,4830,,,
Graphics/Video Cards,x,2,10,,4410,,,
Power Supplies,,,,,,,,
Motherboards,x,2,10,,4410,,,
Modems,x,"2,2",10,,4830,,,
Printers,,,,,,,,
Home Theater Receivers,,,,,,,,
Home Speakers & Subwoofers,,,,,,,,
Internet & Media Streamers,z,"2,2",30,,,,,
Apple Laptops,z,"2,2",30,,,,,
Video Glasses,x,"2,2",10,,4830,,,
Surveillance Security Systems,,,,,,,,
Label Makers,j,"2,2",30,,,,,
CPUs/Processors,x,2,10,,4410,,,
Uninterruptible Power Supplies,,,,,,,,
Water Cooling,j,"2,2",30,,,,,
CPU Fans & Heat Sinks,j,"2,2",30,,,,,
Computer Cases,,,,,,,,
"CD, DVD & Blu-ray Drives",j,"2,2",30,,,,,
Infrared & Convection Ovens,z,"2,2",30,,,,,
Controllers & Attachments,z,"2,2",30,,,,,
Tablets & eBook Readers,x,2,10,,4410,,,
Headsets & Earpieces,x,"2,2",10,,4830,,,
Air Conditioners,,,,,,,,
Keyboards & Keypads,j,"2,2",30,,,,,
"CD, DVD & Blu-ray Duplicators",j,"2,2",30,,,,,
Cycle Computers & GPS,x,"2,2",10,,4830,,,
Cell Phones & Smartphones,,,,,,,,
GPS & Running Watches,x,"2,2",10,,4830,,,
Headsets,x,"2,2",10,,4830,,,
Body Mass Monitors & Scales,x,"2,2",10,,4830,,,
Network Switches,x,"2,2",10,,4830,,,
Security Cameras,,,,,,,,
Powerline Networking,x,"2,2",10,,4830,,,
Computer Case Fans,j,"2,2",30,,,,,
VoIP Home Phones,,,,,,,,
TVs,,,,,,,,
PC Desktops & All-In-Ones,,,,,,,,
Heart Rate Monitors,z,"2,2",30,,,,,
Drive Enclosures & Docks,j,"2,2",30,,,,,
"Boosters, Extenders & Antennas",j,"2,2",30,,,,,
Computer Speakers,,,,,,,,
"Personal Finance, Tax & Legal",j,"2,2",30,,,,,
Bread Machines,,,,,,,,
Other Equestrian,j,"2,2",30,,,,,
Sound Cards (Internal),,,,,,,,
NO,,,,,,,,
Network Attached Storage,j,"2,2",30,,,,,
Webcams,,,,,,,,
Coffee Makers (Automatic),,,,,,,,
Rackmount Cases & Chassis,,,,,,,,
Firewall & VPN Devices,z,"2,2",30,,,,,
"Other TV, Video & Audio Accs",j,"2,2",30,,,,,
"Mice, Trackballs & Touchpads",j,"2,2",30,,,,,
Power Cables & Connectors,j,"2,2",30,,,,,
Scanners,x,"2,2",10,,4830,,,
Vacuum Cleaners,z,"2,2",30,,,,,
Motherboard & CPU Combos,j,"2,2",30,,,,,
TV Mounts & Brackets,,,,,,,,
Other Ent. Server Components,j,"2,2",30,,,,,
Fuel Injectors,z,"2,2",30,,,,,
Pedometers,j,"2,2",30,,,,,
Sound Cards (External),,,,,,,,
"Image, Video & Audio",x,"2,2",10,,4830,,,
Ethernet Cables (RJ-45/8P8C),x,"2,2",10,,4830,,,
Carpet & Floor Sweepers,j,"2,2",30,,,,,
Video Games,x,"2,2",10,,4830,,,
Scales,z,"2,2",30,,,,,
Network Cards,x,"2,2",10,,4830,,,
Deep Fryers,z,"2,2",30,,,,,
